#CODE,NAME
#SRGDESC=100,Population
#SRGDESC=110,Housing
#SRGDESC=150,Residential Heating - Natural Gas
#SRGDESC=170,Residential Heating - Distillate Oil
#SRGDESC=180,Residential Heating - Coal
#SRGDESC=190,Residential Heating - LP Gas
#SRGDESC=205,Extended Idle Locations
#SRGDESC=239,Total Road AADT
#SRGDESC=240,Total Road Miles
#SRGDESC=242,All Restricted AADT
#SRGDESC=244,All Unrestricted AADT
#SRGDESC=258,Intercity Bus Terminals
#SRGDESC=259,Transit Bus Terminals
#SRGDESC=260,Total Railroad Miles
#SRGDESC=261,NTAD Total Railroad Density
#SRGDESC=271,NTAD Class 1 2 3 Railroad Density
#SRGDESC=300,NLCD Low Intensity Development
#SRGDESC=304,NLCD Open + Low
#SRGDESC=305,NLCD Low + Med
#SRGDESC=306,NLCD Med + High
#SRGDESC=307,NLCD All Development
#SRGDESC=308,NLCD Low + Med + High
#SRGDESC=309,NLCD Open + Low + Med
#SRGDESC=310,NLCD Total Agriculture
#SRGDESC=319,NLCD Crop Land
#SRGDESC=320,NLCD Forest Land
#SRGDESC=321,NLCD Recreational Land
#SRGDESC=340,NLCD Land
#SRGDESC=350,NLCD Water
#SRGDESC=500,Commercial Land
#SRGDESC=505,Industrial Land
#SRGDESC=506,Education
#SRGDESC=508,Public Schools
#SRGDESC=510,Commercial plus Industrial
#SRGDESC=535,Residential + Commercial + Industrial + Institutional + Government
#SRGDESC=560,Hospital (COM6)
#SRGDESC=650,Refineries and Tank Farms
#SRGDESC=670,Spud Count - CBM Wells
#SRGDESC=671,Spud Count - Gas Wells
#SRGDESC=674,Unconventional Well Completion Counts
#SRGDESC=678,Completions at Gas Wells
#SRGDESC=679,Completions at CBM Wells
#SRGDESC=681,Spud Count - Oil Wells
#SRGDESC=683,Produced Water at All Wells
#SRGDESC=685,Completions at Oil Wells
#SRGDESC=687,Feet Drilled at All Wells
#SRGDESC=691,Well Counts -  CBM Wells
#SRGDESC=692,Spud Count - All Wells
#SRGDESC=693,Well Count - All Wells
#SRGDESC=694,Oil Production at Oil Wells
#SRGDESC=695,Well Count - Oil Wells
#SRGDESC=696,Gas Production at Gas Wells
#SRGDESC=698,Well Count - Gas Wells
#SRGDESC=699,Gas Production at CBM Wells
#SRGDESC=711,Airport Areas
#SRGDESC=801,Port Areas
#SRGDESC=805,Offshore Shipping Area
#SRGDESC=806,Offshore Shipping NEI2014 Activity
#SRGDESC=807,Navigable Waterway Miles
#SRGDESC=808,2013 Shipping Density
#SRGDESC=820,Ports NEI2014 Activity
#SRGDESC=850,Golf Courses
#SRGDESC=860,Mines
