REGION,SURROGATE,SURROGATE CODE,DATA SHAPEFILE,DATA ATTRIBUTE,WEIGHT SHAPEFILE,WEIGHT ATTRIBUTE,WEIGHT FUNCTION,FILTER FUNCTION,MERGE FUNCTION,SECONDARY SURROGATE,TERTIARY SURROGATE,QUARTERNARY SURROGATE,DETAILS,COMMENTS
USA,Population,100,cb_2017_us_county_500k,geoid,acs2016_5yr_bg,pop2016,,,,,,,Total population from Census 2016 blocks,
USA,Housing,110,cb_2017_us_county_500k,geoid,acs2016_5yr_bg,hu2016,,,,Population,,,Total Housing Units from Census 2016,
